City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Luganville,VU,80.71,few clouds,-15.5333,167.1667,The Espiritu Hotel
101,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
102,Tecoanapa,MX,85.19,overcast clouds,16.5167,-98.75,Hotel Manglares
104,Kasane,BW,60.37,clear sky,-17.8167,25.15,The Old House
107,Hasaki,JP,86.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
108,Hilo,US,90.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
111,Czechowice-Dziedzice,PL,61.86,broken clouds,49.9134,19.0048,Dworek Eureka
112,Rajnagar,IN,80.94,scattered clouds,24.8833,79.9167,The LaLiT Temple View Khajuraho
113,Atuona,PF,77.27,clear sky,-9.8,-139.0333,Villa Enata
114,Port Elizabeth,ZA,62.31,broken clouds,-33.918,25.5701,39 On Nile Guest House
117,Kutum,SD,74.35,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
120,Diffa,NE,84.2,few clouds,13.3154,12.6113,ProDAF/Diffa
123,Tanggu,CN,67.96,clear sky,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
124,Kavaratti,IN,80.53,overcast clouds,10.5669,72.642,Green leaf
127,Butaritari,KI,81.5,light rain,3.0707,172.7902,Isles Sunset Lodge
128,Mahebourg,MU,65.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
129,Millau,FR,71.73,overcast clouds,44.0833,2.9167,La Villa Des Raspes
130,Touros,BR,75.85,few clouds,-5.1989,-35.4608,INN NEW HORIZON
131,Leh,IN,63.48,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
132,Dovers,VC,81.77,broken clouds,12.8833,-61.1833,Ocean Breeze
134,Samarai,PG,78.82,overcast clouds,-10.6167,150.6667,Nuli Sapi
136,Ixtapa,MX,86.23,scattered clouds,20.7,-105.2,hotel la terminal
137,Itoman,JP,86.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
139,Mount Isa,AU,64.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
142,Pokhara,NP,73.4,moderate rain,28.2333,83.9833,OYO 170 Hotel View Point
143,Ambilobe,MG,65.25,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
144,Petauke,ZM,61.5,clear sky,-14.2426,31.3253,Kwamwanja Wanthu
146,Juneau,US,60.8,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
147,Chifeng,CN,72.18,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
149,Saint George,US,94.42,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
151,Katsuura,JP,82.81,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
153,Aswan,EG,92.71,few clouds,24.0934,32.907,Nuba Nile
155,Iwanai,JP,72.01,overcast clouds,42.9744,140.5089,いわない高原ホテル
156,Puri,IN,79.32,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
157,Ponta Do Sol,PT,72.72,scattered clouds,32.6667,-17.1,Hotel do Campo
160,Bejar,ES,69.8,broken clouds,40.3864,-5.7634,Posada Puerta Grande
161,Clarksburg,US,82.51,broken clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
163,Sawtell,AU,60.19,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
164,Saint-Francois,FR,62.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
165,Korla,CN,84.2,scattered clouds,41.7597,86.1469,Gulisitan Hotel
166,Stanovoye,RU,63.64,overcast clouds,52.7638,38.3582,Базилик Становое
167,Havelock,US,87.06,broken clouds,34.8791,-76.9013,Sherwood Motel
168,Zhuhai,CN,82.11,light intensity shower rain,22.2769,113.5678,珠海粤财假日酒店
169,Sitka,US,60.69,overcast clouds,57.0531,-135.33,Westmark Sitka
170,Wajima,JP,84.02,light rain,37.4,136.9,Wajiima Onsen Yashio
172,Juegang,CN,86.92,overcast clouds,32.3174,121.1855,Rudong Y Hotel
173,Norman Wells,CA,74.75,overcast clouds,65.282,-126.8329,Heritage Hotel
175,Victoria,HK,82.26,overcast clouds,22.2855,114.1577,Mini Central
176,Hithadhoo,MV,81.21,scattered clouds,-0.6,73.0833,Scoop Guest House
177,Zlitan,LY,80.15,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
178,Kargasok,RU,61.21,broken clouds,59.0556,80.8572,Hotel Kargasok
182,Carutapera,BR,77.67,few clouds,-1.195,-46.02,Lidera
183,Tamasopo,MX,81.21,few clouds,21.9333,-99.4833,La Pozita Azul
185,Lagoa,PT,71.87,clear sky,39.05,-27.9833,Casa Das Faias
186,San Andres Del Rabanedo,ES,77.72,clear sky,42.6117,-5.6167,Parador de León
187,Sakaiminato,JP,82.18,broken clouds,35.55,133.2333,Italian pasley
188,Ponta Delgada,PT,73.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
189,Asau,RO,65.32,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
190,Ribeira Grande,PT,74.1,few clouds,38.5167,-28.7,Quinta da Meia Eira
191,Notodden,NO,63.97,overcast clouds,59.5594,9.2585,Brattrein Hotel
192,Ewa Beach,US,85.98,overcast clouds,21.3156,-158.0072,Base Lodging
193,Jacareacanga,BR,82.8,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
195,Erzin,TR,75.34,broken clouds,36.9559,36.2,Artemis Otel
196,Cururupu,BR,75.67,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
199,Souillac,MU,67.39,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
204,Muros,ES,73.17,clear sky,42.7762,-9.0603,Apartment Av. Castelao
205,Hovd,MN,61.74,clear sky,48.0056,91.6419,Hotel Khovd
206,Ahuimanu,US,85.75,light rain,21.4447,-157.8378,Paradise Bay Resort
209,Manali,IN,84.07,overcast clouds,13.1667,80.2667,Sarathy Lodge
210,Tura,IN,73.51,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
213,Bardiyah,LY,78.44,clear sky,31.7561,25.0865,بورتو بردية
214,Pittsfield,US,81.32,scattered clouds,42.4501,-73.2454,"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel"
215,Scarborough,GB,63.79,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
