City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Butaritari,KI,3.0707,172.7902,81.5,77,55,14.12,light rain
128,Mahebourg,MU,-20.4081,57.7,65.25,70,96,19.06,overcast clouds
129,Millau,FR,44.0833,2.9167,71.73,45,91,4.03,overcast clouds
130,Touros,BR,-5.1989,-35.4608,75.85,78,24,14.81,few clouds
131,Leh,IN,34.1667,77.5833,63.48,58,76,5.53,broken clouds
132,Dovers,VC,12.8833,-61.1833,81.77,82,60,17.0,broken clouds
133,Mochalishche,RU,56.3306,48.3547,60.53,91,96,3.04,overcast clouds
134,Samarai,PG,-10.6167,150.6667,78.82,80,96,20.45,overcast clouds
135,Werda,BW,-25.2667,23.2833,55.78,31,0,2.95,clear sky
136,Ixtapa,MX,20.7,-105.2,86.23,70,40,10.36,scattered clouds
137,Itoman,JP,26.1247,127.6694,86.4,84,20,5.75,few clouds
138,Kuminskiy,RU,58.6667,66.5667,61.23,93,16,4.63,few clouds
139,Mount Isa,AU,-20.7333,139.5,64.17,29,7,10.36,clear sky
140,Yerbogachen,RU,61.2767,108.0108,53.15,82,100,1.77,overcast clouds
141,Te Anau,NZ,-45.4167,167.7167,36.48,73,21,0.92,few clouds
142,Pokhara,NP,28.2333,83.9833,73.4,94,100,3.56,moderate rain
143,Ambilobe,MG,-13.2,49.05,65.25,77,28,4.47,scattered clouds
144,Petauke,ZM,-14.2426,31.3253,61.5,38,0,3.24,clear sky
145,Batemans Bay,AU,-35.7167,150.1833,49.1,64,14,3.11,few clouds
146,Juneau,US,58.3019,-134.4197,60.8,59,100,8.05,overcast clouds
147,Chifeng,CN,42.2683,118.9636,72.18,59,3,6.69,clear sky
148,Rusape,ZW,-18.5278,32.1284,52.29,51,0,3.47,clear sky
149,Saint George,US,37.1041,-113.5841,94.42,31,20,16.11,few clouds
150,Kruisfontein,ZA,-34.0033,24.7314,57.31,76,70,12.37,broken clouds
151,Katsuura,JP,35.1333,140.3,82.81,84,89,19.6,overcast clouds
152,Hofn,IS,64.2539,-15.2082,51.89,95,100,25.93,overcast clouds
153,Aswan,EG,24.0934,32.907,92.71,24,17,16.62,few clouds
154,Olafsvik,IS,64.8945,-23.7142,51.08,97,100,18.63,overcast clouds
155,Iwanai,JP,42.9744,140.5089,72.01,90,100,3.8,overcast clouds
156,Puri,IN,19.8,85.85,79.32,83,100,23.82,overcast clouds
157,Ponta Do Sol,PT,32.6667,-17.1,72.72,95,25,4.85,scattered clouds
158,Rundu,NA,-17.9333,19.7667,58.68,18,0,6.4,clear sky
159,Saldanha,ZA,-33.0117,17.9442,54.14,89,86,8.3,overcast clouds
160,Bejar,ES,40.3864,-5.7634,69.8,60,68,3.31,broken clouds
161,Clarksburg,US,39.2807,-80.3445,82.51,79,75,3.44,broken clouds
162,Bahia Blanca,AR,-38.7196,-62.2724,48.31,64,8,8.63,clear sky
163,Sawtell,AU,-30.3833,153.1,60.19,58,100,13.8,overcast clouds
164,Saint-Francois,FR,46.4154,3.9054,62.04,63,0,4.61,clear sky
165,Korla,CN,41.7597,86.1469,84.2,29,25,10.4,scattered clouds
166,Stanovoye,RU,52.7638,38.3582,63.64,89,100,6.62,overcast clouds
167,Havelock,US,34.8791,-76.9013,87.06,76,67,3.0,broken clouds
168,Zhuhai,CN,22.2769,113.5678,82.11,89,40,27.63,light intensity shower rain
169,Sitka,US,57.0531,-135.33,60.69,63,100,13.8,overcast clouds
170,Wajima,JP,37.4,136.9,84.02,74,93,21.9,light rain
171,Saskylakh,RU,71.9167,114.0833,54.55,82,97,6.49,light rain
172,Juegang,CN,32.3174,121.1855,86.92,85,100,5.79,overcast clouds
173,Norman Wells,CA,65.282,-126.8329,74.75,34,98,0.67,overcast clouds
174,Johnston,US,35.5335,-78.3997,91.22,78,0,3.44,clear sky
175,Victoria,HK,22.2855,114.1577,82.26,91,100,25.99,overcast clouds
176,Hithadhoo,MV,-0.6,73.0833,81.21,77,32,5.84,scattered clouds
177,Zlitan,LY,32.4674,14.5687,80.15,76,0,3.65,clear sky
178,Kargasok,RU,59.0556,80.8572,61.21,81,69,4.47,broken clouds
179,Ojinaga,MX,29.5667,-104.4167,100.42,26,40,6.91,scattered clouds
180,Raudeberg,NO,61.9875,5.1352,58.96,53,100,32.1,light rain
181,Longyearbyen,SJ,78.2186,15.6401,44.44,93,40,8.05,scattered clouds
182,Carutapera,BR,-1.195,-46.02,77.67,85,11,8.14,few clouds
183,Tamasopo,MX,21.9333,-99.4833,81.21,41,19,11.36,few clouds
184,Prigoria,RO,45.0667,23.6833,71.33,52,89,2.46,overcast clouds
185,Lagoa,PT,39.05,-27.9833,71.87,81,4,8.32,clear sky
186,San Andres Del Rabanedo,ES,42.6117,-5.6167,77.72,44,0,6.91,clear sky
187,Sakaiminato,JP,35.55,133.2333,82.18,75,73,6.58,broken clouds
188,Ponta Delgada,PT,37.7333,-25.6667,73.51,78,20,4.61,few clouds
189,Asau,RO,46.4333,26.4,65.32,98,95,2.35,overcast clouds
190,Ribeira Grande,PT,38.5167,-28.7,74.1,76,17,1.68,few clouds
191,Notodden,NO,59.5594,9.2585,63.97,88,100,1.97,overcast clouds
192,Ewa Beach,US,21.3156,-158.0072,85.98,60,100,17.27,overcast clouds
193,Jacareacanga,BR,-6.2222,-57.7528,82.8,50,42,0.65,scattered clouds
194,Bonavista,CA,48.6499,-53.1147,54.93,92,100,19.28,moderate rain
195,Erzin,TR,36.9559,36.2,75.34,84,67,2.19,broken clouds
196,Cururupu,BR,-1.8283,-44.8683,75.67,86,7,4.79,clear sky
197,Vardo,NO,70.3705,31.1107,49.98,87,75,1.14,broken clouds
198,Aleksandrovskiy Zavod,RU,50.9237,117.9374,51.84,76,100,6.98,overcast clouds
199,Souillac,MU,-20.5167,57.5167,67.39,70,100,17.31,overcast clouds
200,Batagay-Alyta,RU,67.8006,130.4114,59.7,66,51,3.36,broken clouds
201,Leeston,NZ,-43.7667,172.3,47.37,43,10,1.66,clear sky
202,Ilo,PE,-17.6394,-71.3375,59.76,85,34,3.76,scattered clouds
203,Dalvik,IS,65.9702,-18.5286,53.64,88,100,7.76,overcast clouds
204,Muros,ES,42.7762,-9.0603,73.17,90,5,1.36,clear sky
205,Hovd,MN,48.0056,91.6419,61.74,49,0,5.53,clear sky
206,Ahuimanu,US,21.4447,-157.8378,85.75,73,40,17.27,light rain
207,Leningradskiy,RU,69.3833,178.4167,53.4,52,97,6.4,overcast clouds
208,Deputatskiy,RU,69.3,139.9,56.8,68,0,1.25,clear sky
209,Manali,IN,13.1667,80.2667,84.07,69,100,18.79,overcast clouds
210,Tura,IN,25.5198,90.2201,73.51,93,86,5.66,overcast clouds
211,Sorland,NO,67.667,12.6934,53.46,91,100,25.26,light rain
212,Tiznit,MA,29.5833,-9.5,66.97,76,0,3.8,clear sky
213,Bardiyah,LY,31.7561,25.0865,78.44,66,0,11.05,clear sky
214,Pittsfield,US,42.4501,-73.2454,81.32,66,40,6.91,scattered clouds
215,Scarborough,GB,54.2797,-0.4044,63.79,77,87,5.01,overcast clouds
216,Hervey Bay,AU,-25.2986,152.8535,60.1,70,2,14.7,clear sky
217,Mizdah,LY,31.4451,12.9801,75.69,70,3,7.16,clear sky
218,Cidreira,BR,-30.1811,-50.2056,55.85,85,100,17.85,light rain
219,Pangnirtung,CA,66.1451,-65.7125,47.97,75,88,2.71,overcast clouds
220,Ostrovnoy,RU,68.0531,39.5131,52.11,75,94,18.16,overcast clouds
221,Puerto Leguizamo,CO,-0.1934,-74.7819,74.08,97,100,2.62,light rain
222,Klyuchi,RU,52.2667,79.1667,64.38,79,100,5.68,light rain
223,Olinda,BR,-8.0089,-34.8553,76.73,73,20,10.36,few clouds
224,Lebu,CL,-37.6167,-73.65,48.18,79,100,10.33,overcast clouds
225,Bengkulu,ID,-3.8004,102.2655,74.3,91,38,3.98,scattered clouds
226,Onguday,RU,50.75,86.15,52.63,90,25,1.57,scattered clouds
227,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,58.42,64,18,2.33,few clouds
228,Lebedinyy,RU,58.5167,125.5167,47.93,98,100,6.91,overcast clouds
229,Mackenzie,CA,55.2999,-123.1698,81.73,21,24,4.47,few clouds
230,Wladyslawowo,PL,54.7909,18.4009,58.01,76,16,2.98,few clouds
231,Moree,AU,-29.4667,149.85,53.49,58,0,10.27,clear sky
232,Krasnozerskoye,RU,53.9828,79.2374,60.35,79,15,9.37,few clouds
233,Hit,IQ,33.6416,42.8251,90.57,19,0,11.65,clear sky
234,Santa Maria,BR,-29.6842,-53.8069,50.56,92,100,12.82,overcast clouds
235,Galesong,ID,-5.3166,119.3661,73.42,79,99,5.93,overcast clouds
236,Ulyanovsk,RU,54.0,48.0,67.1,77,97,5.48,overcast clouds
237,Bagdarin,RU,54.4333,113.6,49.86,73,100,4.7,overcast clouds
238,Gushikawa,JP,26.3544,127.8686,85.62,79,20,5.75,few clouds
